1674 1960 1423
725 678 512
25 16 9
118 90 393
23365 24825 16715
67 63 766
1330 1364 1138
1094 1039 2198
910	879	952
2090	2279	1593
200	161	2029
26	29	26
11	12	12
39	41	32
1093	1175	739
173	195	2166
1301	1192	842
581	615	1109
0	0	2
4	6	1
909	907	3282
28	39	18
826	977	372
389	405	367
1	2	5
426	378	361
39	24	57
98	66	1758
53	35	31
13	13	225
18	28	61
3	6	4
5	10	5
616	524	185
37	29	14
1507	1444	633
49	52	33
7	8	9
311	309	325
10	12	8
23507	23258	11704
76	77	159
32	37	9
3	3	1
11	13	8
1542	1621	1161
92	100	441
21	24	11
75	74	149
216	224	2102
295	274	85
44	55	8
1	2	4
4	4	14
147	158	168
31	24	32
42	42	78
156	157	124
21	23	32
4	6	17
9	9	4
865	891	641
57	60	24
777	726	406
0	1	0
78	76	81
14	14	195
12	13	142
115	103	30
425	359	602
4321	4208	2943
16	18	10
87	91	223
18	17	12
7	8	6
400	437	302
5	6	13
88	94	63
9	10	162
19	21	15
63	51	41
25	26	32
327	358	171
11	12	6
10	11	9
1	2	2
18	18	19
7	8	9
2410	2465	1336
0	0	13
31	33	24
4	4	25
82	82	48
115	148	60
2017	2120	4702
